genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
SPRYD7	22.4834014407941	1.3810001363584	0.325648680193745	4.24076687655168	2.22757403361553e-05	0.000991349436945919	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SRGAP1	15.6223392285534	-2.42087678598535	0.52796455248074	-4.58530174916177	4.53331245434908e-06	0.000252858094675916	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SRSF4	77.3104977238295	-1.75538075293352	0.217771807786294	-8.06064279291897	7.58943014001903e-16	4.76236741286194e-13	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ST3GAL4	17.9550810197315	2.56495495936798	0.327090025784349	7.84174006289955	4.44345449947439e-15	2.42458060732189e-12	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ST6GALNAC4	5.00083367799861	2.035312776056	0.368845191891971	5.51806779862298	3.42747208832747e-08	4.43451285654739e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ST8SIA4	103.13011385041	0.878139948081382	0.234093592003536	3.75123445526915	0.000175966055245813	0.00485300466566126	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
STAG3	3.95220795370706	2.31110821444576	0.64727756555099	3.57050566471965	0.000356292748512498	0.00832676721383957	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
STAMBPL1	47.5290255765358	-0.99431375275425	0.256572587477045	-3.87537017314138	0.000106462730475347	0.00331540264879802	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
STAT3	42.0804331845665	0.696792193834713	0.191991484216402	3.62928697946483	0.000284205148766539	0.00703822249976468	TRUE	HARsv2_1109	NA	HARsv2_1109	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
STMND1	3.95950926927556	-4.83393471939848	1.37319316851459	-3.52021465751059	0.000431197673622609	0.00947467476901452	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
STX5	23.937264652067	-0.869934853337301	0.242941950749289	-3.58083423078733	0.000342498910318686	0.008068326114681	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
